first,last,address,city,phone
John,Miller,6831 1st Ave,Los Angeles,4605056181
Michael,Wilson,8428 Oak St,Phoenix,9632263100
Jane,Jones,4043 Pine St,San Jose,2983562510
David,Brown,2899 1st Ave,Dallas,9363581811
Alice,Davis,2695 Cedar St,Phoenix,5376904309
Emma,Johnson,2038 Maple St,Miami,3892325061
Michael,Johnson,1465 Pine St,San Jose,7646323476
Olivia,Johnson,5065 Broadway,Austin,3967673992
Emma,Smith,1724 Broadway,Boston,6661122470
Alice,Williams,2093 2nd Ave,Chicago,6185197432
John,Johnson,8575 Oak St,Chicago,5931757220
Michael,Johnson,4944 Maple St,San Jose,5756594166
David,Jones,6295 Broadway,Houston,5831701733
Olivia,Williams,7861 Pine St,San Jose,7637267102
Emma,Martinez,4843 2nd Ave,Los Angeles,6612659157
Alice,Miller,6335 Maple St,Miami,2743255640
Michael,Wilson,1955 Main St,Los Angeles,8193664241
David,Wilson,8619 Broadway,New York,6679784276
Chris,Davis,8014 1st Ave,Houston,2956631757
Michael,Garcia,9714 Oak St,Miami,3595913613
John,Jones,2718 Oak St,Dallas,5173101666
Chris,Brown,6697 Oak St,Chicago,5996074955
Alice,Wilson,5944 Pine St,Phoenix,9133774624
John,Brown,1909 Oak St,Phoenix,9306711243
John,Garcia,367 Maple St,Chicago,6193587164
John,Smith,1792 Oak St,Phoenix,9466567847
Chris,Johnson,468 Cedar St,Boston,5562098859
Chris,Miller,698 Cedar St,Chicago,7583405454
Olivia,Wilson,4922 Cedar St,Dallas,9747221811
Chris,Williams,4967 1st Ave,Chicago,1962223001
Chris,Garcia,1108 Maple St,Phoenix,8116618602
Bob,Wilson,8167 Cedar St,New York,7543163479
Olivia,Martinez,5384 2nd Ave,Chicago,7669122123
Emma,Garcia,3766 Pine St,Chicago,2158502399
Olivia,Williams,4126 Pine St,New York,9222939537
Chris,Miller,3411 Broadway,Boston,9877239175
Jane,Smith,8453 1st Ave,Boston,4399865247
Michael,Jones,9906 Pine St,Chicago,9315465687
Alice,Smith,8580 1st Ave,Dallas,1356899876
Olivia,Smith,5519 Pine St,Chicago,5289913014
Chris,Martinez,9391 1st Ave,Chicago,8277781446
David,Brown,581 Pine St,Austin,5466456097
Michael,Johnson,7017 2nd Ave,Boston,1517406713
John,Davis,2885 Cedar St,Phoenix,7422883913
John,Davis,4299 2nd Ave,Dallas,2565174186
John,Garcia,7828 Cedar St,Boston,8728918879
David,Williams,9497 Oak St,San Jose,8356973924
David,Williams,6192 Oak St,Miami,7652176100
Chris,Wilson,795 Main St,Boston,2503857708
John,Miller,3031 Maple St,Boston,9452159066
Jane,Williams,9540 Oak St,Chicago,2036565131
Emma,Williams,3455 Pine St,Austin,5389991734
Emma,Smith,4104 Maple St,Boston,2205401131
Bob,Brown,5003 Main St,Boston,5028641176
Chris,Williams,343 1st Ave,Miami,5963762562
John,Martinez,9233 Oak St,San Jose,6204664027
Olivia,Johnson,1261 2nd Ave,Los Angeles,5877911932
Chris,Wilson,4913 2nd Ave,Houston,7361954542
Alice,Wilson,9808 Oak St,Los Angeles,9778999740
Sarah,Williams,7682 Oak St,Chicago,3797475403
Michael,Williams,224 Oak St,Los Angeles,9119449042
Emma,Davis,5965 Cedar St,Phoenix,5759721907
Olivia,Smith,2708 Cedar St,San Jose,7825788646
Jane,Jones,2196 Maple St,Boston,1803638800
Emma,Brown,3954 2nd Ave,Chicago,7067273735
Jane,Smith,6371 Oak St,New York,1882015400
Sarah,Williams,7694 1st Ave,Chicago,9249831833
Chris,Jones,5046 Maple St,Austin,4979898762
John,Miller,7840 2nd Ave,San Jose,8191114771
Sarah,Wilson,6541 Oak St,Chicago,7915127999
Sarah,Garcia,2965 Oak St,Miami,5749768211
Alice,Williams,9292 Maple St,New York,5849571980
Michael,Brown,2459 2nd Ave,Miami,1577515078
John,Jones,6612 Oak St,Phoenix,8089236796
Emma,Garcia,226 Oak St,Chicago,2333037311
Emma,Martinez,4077 Pine St,Houston,6114434735
Bob,Williams,9986 Pine St,Los Angeles,7586763948
Michael,Wilson,8475 Oak St,Boston,9263078134
Bob,Garcia,4563 Main St,Austin,5822961178
Chris,Williams,8022 Main St,Chicago,9925308325
Chris,Davis,7551 2nd Ave,Dallas,4132804470
Jane,Martinez,8377 Pine St,Austin,5068702312
Jane,Miller,4220 Oak St,Dallas,4485209319
Olivia,Davis,8776 Broadway,Phoenix,6155287846
Bob,Johnson,1918 Maple St,Dallas,7035941295
John,Davis,5738 Cedar St,Boston,1292999919
Jane,Martinez,6602 1st Ave,San Jose,1757991041
John,Garcia,2073 Maple St,Chicago,3592735704
Bob,Davis,3006 1st Ave,Houston,4333474132
John,Johnson,5532 Oak St,Miami,3645413924
Olivia,Williams,9502 1st Ave,Austin,2189828549
Sarah,Martinez,4454 Broadway,San Jose,6358368078
Emma,Miller,7007 Maple St,Chicago,5759526959
Emma,Garcia,7967 1st Ave,Houston,8824635205
Sarah,Williams,2342 Main St,Austin,6665949166
Michael,Garcia,5537 Maple St,Austin,7012657853
Bob,Jones,2462 1st Ave,Austin,7634505730
Bob,Wilson,7560 Oak St,Los Angeles,2256619218
Chris,Williams,1843 Cedar St,Los Angeles,4316664556
Emma,Miller,3287 2nd Ave,Houston,2441155175
David,Miller,1818 1st Ave,Phoenix,3064853578
David,Martinez,3870 2nd Ave,Boston,5368175412
Alice,Wilson,9783 Main St,Miami,9228951806
Bob,Brown,6973 Maple St,Dallas,5272784499
Sarah,Johnson,9923 1st Ave,Austin,9664956183
John,Johnson,9555 Main St,Phoenix,5096279561
Bob,Martinez,9787 Broadway,Boston,7145211138
Michael,Martinez,9472 Maple St,Boston,4571324717
John,Jones,8865 Pine St,Houston,3833786361
Alice,Wilson,2440 Main St,Dallas,8873025005
Alice,Smith,8879 2nd Ave,Miami,7395433354
John,Miller,5801 Pine St,Los Angeles,4912319994
Bob,Davis,8677 Pine St,Dallas,3593829732
Alice,Brown,9521 Cedar St,Houston,1645099446
Michael,Jones,626 Main St,Phoenix,3178045688
Alice,Miller,4667 Oak St,Houston,7268839004
John,Smith,3959 Broadway,Miami,1029677874
Olivia,Wilson,8347 Oak St,Phoenix,3258428156
Bob,Smith,3611 Pine St,Chicago,7213085534
Sarah,Brown,814 Pine St,San Jose,2904876758
Emma,Johnson,1746 Cedar St,New York,6781631469
Chris,Williams,8594 Pine St,New York,1851005703
Michael,Miller,1752 2nd Ave,Houston,4131548823
Jane,Jones,1740 Broadway,Chicago,7046692681
Bob,Miller,6872 Oak St,Miami,4696148017
Sarah,Jones,2553 Pine St,Austin,7851726341
Chris,Jones,1293 Main St,Miami,9599534694
Alice,Miller,698 Pine St,New York,7289505668
Alice,Jones,1458 Oak St,New York,8748957869
Olivia,Wilson,903 Cedar St,Boston,6474828604
John,Martinez,5517 Pine St,Houston,8799182910
Alice,Martinez,1641 Cedar St,New York,6625187880
Bob,Miller,7430 2nd Ave,Boston,6651111869
Alice,Brown,6966 Main St,Miami,7871955460
Emma,Martinez,7461 Main St,Chicago,4675074112
Sarah,Wilson,4071 Oak St,New York,9531397921
Olivia,Wilson,5148 Oak St,Boston,8713339220
Alice,Smith,1775 Oak St,Austin,4941413903
Sarah,Martinez,3856 Maple St,San Jose,1644146804
Alice,Smith,6402 Maple St,New York,4356331996
Michael,Williams,8580 Cedar St,Austin,6465462964
Alice,Smith,9704 1st Ave,Miami,2262973223
Olivia,Johnson,9891 Cedar St,Phoenix,9537614302
Sarah,Jones,1921 Maple St,Austin,1211816564
Olivia,Martinez,2922 2nd Ave,Phoenix,9388833776
John,Johnson,1365 Cedar St,San Jose,1965854276
Sarah,Williams,2439 Maple St,San Jose,6446254591
Alice,Smith,7284 Oak St,Phoenix,6341574016
Olivia,Williams,5321 Broadway,Houston,8664268535
Jane,Wilson,9400 1st Ave,Los Angeles,4317954177
Chris,Johnson,1961 Maple St,Dallas,1791891370
Olivia,Williams,8522 Oak St,San Jose,5936041416
Chris,Johnson,7708 Main St,Boston,7925384505
Bob,Johnson,6567 Maple St,Miami,6308621887
Emma,Johnson,1329 Broadway,Austin,5132154049
Alice,Brown,8869 Broadway,San Jose,6378253129
David,Williams,6476 Main St,Dallas,7717081609
Sarah,Williams,8628 Pine St,Phoenix,6952712282
Olivia,Williams,4144 Pine St,Houston,2862781146
David,Brown,8903 1st Ave,Boston,4187871633
Sarah,Garcia,3184 Pine St,Boston,7992087660
Alice,Johnson,6962 Oak St,New York,9285786159
Michael,Jones,9013 1st Ave,Boston,1099823825
Sarah,Wilson,2229 Broadway,San Jose,6967756516
John,Garcia,6067 Cedar St,Boston,8973028161
Chris,Brown,687 Oak St,San Jose,1797632795
Olivia,Garcia,871 Oak St,Los Angeles,8624795344
David,Martinez,1350 Cedar St,New York,4916481978
Emma,Davis,2987 Maple St,Austin,4677792291
Michael,Martinez,461 1st Ave,Dallas,6838024530
Bob,Jones,6582 Broadway,Austin,7521343390
Alice,Brown,3041 Cedar St,Austin,8823952145
Emma,Miller,2620 Broadway,Houston,7133527609
John,Miller,4302 Pine St,Boston,9354641481
Chris,Garcia,7128 Broadway,Austin,4933987855
Chris,Martinez,9446 1st Ave,Chicago,4445461495
Olivia,Wilson,7599 Cedar St,Dallas,9716619825
Sarah,Williams,8685 Broadway,San Jose,6233161362
Chris,Garcia,2187 Oak St,Miami,1177849395
Olivia,Jones,7342 Cedar St,Miami,4919736887
Michael,Brown,3303 Broadway,Dallas,2536773034
Sarah,Smith,8973 1st Ave,Houston,7314162281
David,Johnson,6056 Broadway,Chicago,5178997890
Jane,Jones,3752 Oak St,Dallas,8599973838
Emma,Miller,9749 Main St,Houston,9136843537
Chris,Brown,4446 Main St,Austin,7183272453
Bob,Williams,7090 Oak St,Houston,2312319202
Michael,Martinez,2035 Broadway,Austin,4261376465
Chris,Jones,1775 2nd Ave,Dallas,1547677397
Jane,Martinez,7894 Oak St,Boston,1239561707
Emma,Miller,1224 Broadway,Austin,5057346405
Olivia,Garcia,2223 Main St,New York,7034133450
Sarah,Martinez,6360 Cedar St,Boston,1347936222
Emma,Martinez,6288 1st Ave,Houston,1663207671
Michael,Brown,3320 2nd Ave,Phoenix,3657853685
Sarah,Garcia,4239 1st Ave,San Jose,6703921721
Alice,Williams,4832 Main St,Austin,5661745573
Chris,Brown,2000 Maple St,San Jose,6419695225
Michael,Johnson,8021 Maple St,Boston,8446016192
Chris,Davis,7411 2nd Ave,Boston,5708479509
Michael,Johnson,6537 Main St,New York,9705835782
David,Martinez,8761 Main St,Boston,9843121583
Michael,Smith,4426 Maple St,Boston,4713897566
Michael,Jones,2018 2nd Ave,Los Angeles,6701556667
Jane,Williams,6861 1st Ave,San Jose,9194757416
John,Garcia,9898 Oak St,Boston,7026118254
Michael,Davis,3858 Maple St,Phoenix,8865687868
Emma,Martinez,3458 1st Ave,San Jose,4846985504
Olivia,Johnson,3427 1st Ave,Boston,3228505738
Chris,Garcia,1629 1st Ave,Austin,6124141179
Alice,Wilson,9733 Broadway,Miami,1176826613
Sarah,Johnson,7258 Maple St,Phoenix,8672817380
Alice,Davis,8751 Broadway,Chicago,1588861056
Chris,Jones,3324 Main St,Miami,7987863843
Michael,Johnson,5076 Cedar St,New York,1503109070
Chris,Brown,523 Broadway,Phoenix,9002664213
Jane,Johnson,7756 Pine St,San Jose,7207567234
Bob,Williams,3922 Main St,Miami,3944049225
Sarah,Miller,6647 1st Ave,Phoenix,1547637582
Alice,Garcia,4856 Pine St,Dallas,9381307301
Emma,Martinez,1891 Oak St,Miami,3526207856
Chris,Brown,4590 Broadway,Austin,7139952156
John,Garcia,1511 Pine St,Houston,1853186457
Alice,Brown,649 Pine St,Dallas,1408544229
Olivia,Brown,5246 Broadway,Miami,9122336240
Jane,Jones,567 1st Ave,Boston,7719735118
Bob,Jones,7783 Maple St,Dallas,6174053049
Michael,Brown,9990 Maple St,New York,1355603727
Emma,Garcia,2752 Oak St,Chicago,7062495325
Sarah,Brown,9847 1st Ave,Houston,8901483547
Alice,Brown,6862 Broadway,Dallas,4402398248
Olivia,Johnson,8124 Maple St,New York,8547439998
Olivia,Brown,1544 Main St,Miami,2047971711
John,Brown,1498 1st Ave,Phoenix,8631007309
Michael,Williams,2271 Main St,Chicago,7902456890
Chris,Wilson,7271 1st Ave,San Jose,5977859532
Bob,Davis,6408 Oak St,Dallas,7015733752
Chris,Williams,4010 Maple St,Boston,5776555498
Alice,Smith,479 Cedar St,Houston,8172591588
Alice,Wilson,8976 2nd Ave,Dallas,2554957149
John,Johnson,8251 Pine St,Houston,9423997771
David,Wilson,9890 2nd Ave,Austin,7422368708
Olivia,Johnson,2452 Oak St,Dallas,8023654442
Emma,Brown,5939 Maple St,Miami,5837461226
Olivia,Jones,5830 Main St,San Jose,2919346957
Bob,Davis,4012 Pine St,San Jose,4953496504
Jane,Brown,8351 2nd Ave,Houston,9101082767
Sarah,Wilson,1808 Broadway,Los Angeles,1134738365
Sarah,Brown,4627 Maple St,Phoenix,9841198760
John,Miller,2579 Cedar St,Los Angeles,9488375070
Alice,Davis,3130 1st Ave,Houston,5655127118
Olivia,Martinez,1878 2nd Ave,Boston,6751783000
Chris,Davis,9092 Main St,Miami,7342329535
David,Smith,9187 2nd Ave,Dallas,8074112876
Sarah,Miller,3923 Maple St,San Jose,7568365769
Chris,Johnson,7689 1st Ave,San Jose,7502815471
David,Garcia,6690 Broadway,Miami,8474438394
Olivia,Johnson,4726 Main St,Chicago,8829119364
Emma,Jones,1299 Main St,Los Angeles,5277036637
Jane,Garcia,487 Broadway,Dallas,7441666556
Michael,Wilson,2796 Pine St,Boston,3085863249
Alice,Wilson,6267 Broadway,Boston,9554602400
Chris,Smith,918 1st Ave,New York,5187978872
Michael,Garcia,7615 Oak St,Los Angeles,3323609612
John,Jones,5692 Main St,New York,1303763387
Alice,Miller,3835 Maple St,Houston,9023252293
Michael,Williams,2028 1st Ave,Boston,5068738298
Alice,Johnson,2527 2nd Ave,Miami,8475386030
Alice,Jones,9232 Cedar St,Dallas,6169981609
Bob,Davis,4124 Cedar St,Boston,9373021633
David,Jones,5129 Pine St,Miami,4321866502
John,Davis,6457 Main St,Chicago,7698042640
Olivia,Jones,2098 Pine St,Miami,4064119169
John,Martinez,5108 Main St,New York,8729668394
John,Smith,2597 Cedar St,Dallas,6592077385
John,Wilson,7526 Oak St,Houston,5955827375
Bob,Martinez,7110 Maple St,Phoenix,4101265560
Sarah,Brown,6688 Main St,Dallas,6267451644
David,Jones,2296 Broadway,San Jose,9421919105
Olivia,Wilson,9636 2nd Ave,New York,4915866728
Alice,Wilson,3626 Pine St,Phoenix,2636649020
Chris,Davis,9319 2nd Ave,Boston,3391179001
Olivia,Smith,6370 Pine St,Austin,5154065585
John,Wilson,9258 1st Ave,Phoenix,8306938599
Alice,Martinez,7929 Cedar St,Chicago,5173915235
John,Williams,8115 Main St,San Jose,7629332936
Bob,Davis,9373 Cedar St,San Jose,5902111177
Bob,Smith,5650 Cedar St,Los Angeles,1589063828
John,Williams,1464 Main St,Houston,7315846336
Alice,Brown,7888 1st Ave,San Jose,1567568173
David,Miller,108 1st Ave,Dallas,9234968741
Bob,Jones,8617 Cedar St,San Jose,6544213851
Sarah,Jones,4773 Main St,Boston,4957981024
Michael,Martinez,7140 Oak St,Phoenix,8397838160
Chris,Smith,3788 Oak St,San Jose,3619306162
Bob,Garcia,354 Cedar St,Houston,9172769417
Chris,Jones,7428 Broadway,Miami,3471488631
Olivia,Davis,9423 2nd Ave,Houston,3947364513
Chris,Williams,4524 2nd Ave,New York,1148915300
Chris,Johnson,4006 Cedar St,Los Angeles,6123557780
David,Miller,3753 Oak St,Phoenix,4611529045
Emma,Garcia,1781 Main St,Miami,4394496865
Sarah,Garcia,5736 2nd Ave,Los Angeles,3768607575
Michael,Davis,5996 Cedar St,Dallas,4325739935
Emma,Miller,1399 Main St,Boston,4372972041
Alice,Jones,5717 Maple St,Austin,6473808107
Olivia,Brown,8015 2nd Ave,Dallas,9789105587
Jane,Martinez,4430 Pine St,San Jose,5145935931
Jane,Martinez,1913 2nd Ave,Houston,5555474922
Emma,Williams,9905 Oak St,Los Angeles,4267026697
Jane,Miller,1730 1st Ave,Chicago,2473393739
David,Jones,5925 2nd Ave,Boston,8801876409
Alice,Miller,1261 Cedar St,New York,6426092489
John,Brown,5395 Pine St,Miami,3662569788
David,Brown,2415 Maple St,Los Angeles,3983333820
Alice,Brown,3357 Broadway,Los Angeles,7337869452
Chris,Miller,4444 Pine St,Boston,3167499335
Emma,Jones,1463 Broadway,New York,4012416920
Alice,Smith,9276 Broadway,Chicago,9049549764
Bob,Jones,9552 Oak St,Houston,3288059498
Sarah,Johnson,4151 1st Ave,Austin,4038237526
Jane,Martinez,1778 2nd Ave,Los Angeles,7057952051
David,Garcia,2824 1st Ave,Los Angeles,1522452421
Michael,Wilson,973 Cedar St,Houston,3107167512
Jane,Wilson,975 2nd Ave,Austin,8764248921
John,Williams,3151 Broadway,Austin,1114524780
Alice,Brown,2394 Main St,Los Angeles,8252377571
Alice,Johnson,2933 2nd Ave,Austin,8305134732
Olivia,Wilson,2075 Cedar St,San Jose,1884331127
Jane,Davis,9495 Pine St,Los Angeles,3827039787
David,Jones,5166 Main St,Boston,8228832943
Alice,Brown,1951 Oak St,Chicago,5663841785
Michael,Miller,2581 Pine St,Chicago,1463845342
John,Miller,9857 1st Ave,Houston,3253831196
Olivia,Miller,9039 Pine St,Houston,1278109586
Jane,Miller,3385 2nd Ave,New York,4386232335
David,Garcia,2401 Cedar St,Los Angeles,3154751031
Bob,Garcia,6138 Oak St,Dallas,2138579058
Emma,Johnson,2577 Broadway,Chicago,2068118085
Olivia,Wilson,1713 Main St,Austin,6064508066
Olivia,Brown,7139 Pine St,New York,5459069032
Olivia,Davis,2447 Main St,Houston,2036116335
John,Johnson,2040 Cedar St,Phoenix,1441073897
Bob,Davis,8018 Broadway,Houston,9174372430
Sarah,Garcia,8033 2nd Ave,Chicago,9642246571
Alice,Miller,4345 Pine St,Houston,4942493726
John,Miller,6175 Main St,Boston,9579444731
Jane,Johnson,6885 2nd Ave,New York,6162235088
Bob,Brown,9130 Broadway,Los Angeles,2863625481
John,Brown,6769 Maple St,Chicago,7896249842
Bob,Brown,9701 Oak St,San Jose,5963012390
Olivia,Wilson,6860 Cedar St,Miami,4202146577
Olivia,Smith,7406 Oak St,Houston,4968648989
Michael,Miller,5926 Oak St,Boston,2173984517
Bob,Williams,9665 Oak St,Houston,2619661924
Jane,Johnson,147 Cedar St,Austin,4177511910
Bob,Brown,5660 2nd Ave,Miami,4252149036
Michael,Garcia,102 Broadway,Boston,9988489163
Emma,Johnson,6904 2nd Ave,Houston,6056008724
Michael,Smith,5197 Broadway,Phoenix,1619994316
Olivia,Smith,9856 1st Ave,San Jose,4826314070
Michael,Williams,3199 Maple St,Boston,9857907700
Jane,Davis,7212 Main St,Dallas,8667585733
Michael,Wilson,1533 2nd Ave,Dallas,3439008086
Michael,Williams,1678 Pine St,Miami,8347138993
Alice,Martinez,163 Main St,San Jose,3148167062
Sarah,Martinez,3486 Oak St,Dallas,3142211760
Olivia,Williams,232 Oak St,Los Angeles,6111012213
Bob,Davis,6681 1st Ave,Los Angeles,8825619613
Emma,Davis,1183 Cedar St,Chicago,7049469851
Sarah,Williams,3523 Oak St,San Jose,8688342399
David,Martinez,393 Main St,San Jose,9532022374
Alice,Jones,7480 Oak St,New York,4314764201
Alice,Garcia,4768 Cedar St,Boston,2769083890
Alice,Brown,9751 1st Ave,Dallas,6112653170
Bob,Martinez,2382 Oak St,Miami,8402192896
Sarah,Garcia,8657 2nd Ave,Houston,8132217958
Emma,Johnson,2879 Oak St,Austin,4469796095
Alice,Jones,8157 2nd Ave,Chicago,3495549504
John,Williams,5898 Pine St,Chicago,1301097366
David,Martinez,7354 2nd Ave,Miami,3808991606
Chris,Miller,142 Oak St,Phoenix,4599036206
Olivia,Miller,8916 Main St,Boston,9164889873
Sarah,Smith,9475 Maple St,Austin,8413055402
John,Davis,1014 Maple St,Austin,4566554843
Michael,Miller,8874 Pine St,Dallas,6545979600
John,Wilson,723 Main St,New York,4533019017
Alice,Miller,1838 1st Ave,Chicago,8252281473
Michael,Smith,5949 Main St,Miami,9691642218
Chris,Davis,6150 2nd Ave,Austin,3744557869
John,Wilson,4702 Maple St,Chicago,3982354504
Sarah,Wilson,6482 Broadway,Houston,8939206398
Michael,Davis,2383 1st Ave,Houston,9684977181
Emma,Brown,9193 Maple St,Dallas,2217051265
Bob,Martinez,2070 Broadway,Dallas,2613112172
Bob,Davis,3017 Oak St,Dallas,9558994821
John,Martinez,4471 Main St,Austin,5995458733
David,Smith,7427 Cedar St,Chicago,3295918401
Emma,Smith,3791 Main St,Dallas,6622608358
